date,date_key,year,quarter,month,day,weekday,is_holiday,is_working
2011-01-01,20110101,2011,1,1,1,6,0,0
2011-01-02,20110102,2011,1,1,2,7,0,0
2011-01-03,20110103,2011,1,1,3,1,0,1
2011-01-04,20110104,2011,1,1,4,2,0,1
2011-01-05,20110105,2011,1,1,5,3,0,1
2011-01-06,20110106,2011,1,1,6,4,0,1
2011-01-07,20110107,2011,1,1,7,5,0,1
2011-01-08,20110108,2011,1,1,8,6,0,0
2011-01-09,20110109,2011,1,1,9,7,0,0
2011-01-10,20110110,2011,1,1,10,1,0,1
2011-01-11,20110111,2011,1,1,11,2,0,1
2011-01-12,20110112,2011,1,1,12,3,0,1
2011-01-13,20110113,2011,1,1,13,4,0,1
2011-01-14,20110114,2011,1,1,14,5,0,1
2011-01-15,20110115,2011,1,1,15,6,0,0
2011-01-16,20110116,2011,1,1,16,7,0,0
2011-01-17,20110117,2011,1,1,17,1,1,0
2011-01-18,20110118,2011,1,1,18,2,0,1
2011-01-19,20110119,2011,1,1,19,3,0,1
2011-01-20,20110120,2011,1,1,20,4,0,1
2011-01-21,20110121,2011,1,1,21,5,0,1
2011-01-22,20110122,2011,1,1,22,6,0,0
2011-01-23,20110123,2011,1,1,23,7,0,0
2011-01-24,20110124,2011,1,1,24,1,0,1
2011-01-25,20110125,2011,1,1,25,2,0,1
2011-01-26,20110126,2011,1,1,26,3,0,1
2011-01-27,20110127,2011,1,1,27,4,0,1
2011-01-28,20110128,2011,1,1,28,5,0,1
2011-01-29,20110129,2011,1,1,29,6,0,0
2011-01-30,20110130,2011,1,1,30,7,0,0
2011-01-31,20110131,2011,1,1,31,1,0,1
2011-02-01,20110201,2011,1,2,1,2,0,1
2011-02-02,20110202,2011,1,2,2,3,0,1
2011-02-03,20110203,2011,1,2,3,4,0,1
2011-02-04,20110204,2011,1,2,4,5,0,1
2011-02-05,20110205,2011,1,2,5,6,0,0
2011-02-06,20110206,2011,1,2,6,7,0,0
2011-02-07,20110207,2011,1,2,7,1,0,1
2011-02-08,20110208,2011,1,2,8,2,0,1
2011-02-09,20110209,2011,1,2,9,3,0,1
2011-02-10,20110210,2011,1,2,10,4,0,1
2011-02-11,20110211,2011,1,2,11,5,0,1
2011-02-12,20110212,2011,1,2,12,6,0,0
2011-02-13,20110213,2011,1,2,13,7,0,0
2011-02-14,20110214,2011,1,2,14,1,0,1
2011-02-15,20110215,2011,1,2,15,2,0,1
2011-02-16,20110216,2011,1,2,16,3,0,1
2011-02-17,20110217,2011,1,2,17,4,0,1
2011-02-18,20110218,2011,1,2,18,5,0,1
2011-02-19,20110219,2011,1,2,19,6,0,0
2011-02-20,20110220,2011,1,2,20,7,0,0
2011-02-21,20110221,2011,1,2,21,1,1,0
2011-02-22,20110222,2011,1,2,22,2,0,1
2011-02-23,20110223,2011,1,2,23,3,0,1
2011-02-24,20110224,2011,1,2,24,4,0,1
2011-02-25,20110225,2011,1,2,25,5,0,1
2011-02-26,20110226,2011,1,2,26,6,0,0
2011-02-27,20110227,2011,1,2,27,7,0,0
2011-02-28,20110228,2011,1,2,28,1,0,1
2011-03-01,20110301,2011,1,3,1,2,0,1
2011-03-02,20110302,2011,1,3,2,3,0,1
2011-03-03,20110303,2011,1,3,3,4,0,1
2011-03-04,20110304,2011,1,3,4,5,0,1
2011-03-05,20110305,2011,1,3,5,6,0,0
2011-03-06,20110306,2011,1,3,6,7,0,0
2011-03-07,20110307,2011,1,3,7,1,0,1
2011-03-08,20110308,2011,1,3,8,2,0,1
2011-03-09,20110309,2011,1,3,9,3,0,1
2011-03-10,20110310,2011,1,3,10,4,0,1
